dates/cities,Bengaluru/Bangalore,Mumbai,Bengaluru,Chennai,Hyderabad/Secunderabad,Delhi,Noida,Hyderabad,Gurgaon,Delhi/NCR(National Capital Region)
2023-08-01,5,0,5,3,5,0,2,0,0,0
2023-08-02,5,3,5,5,2,0,0,0,0,0
2023-08-03,5,0,0,5,0,0,5,3,2,0
2023-08-04,2,1,3,0,2,0,2,5,3,2
2023-08-05,5,1,5,3,5,0,0,1,0,0
2023-08-06,1,0,0,2,0,3,2,3,1,8
2023-08-07,0,1,4,3,1,4,1,1,1,4
2023-08-08,2,1,1,3,4,4,5,0,0,0
2023-08-09,3,4,2,4,4,1,2,0,0,0
2023-08-10,3,5,4,0,0,4,1,0,0,3
2023-08-11,5,1,0,5,4,3,1,0,0,1
2023-08-12,1,3,4,0,4,2,0,1,5,0
2023-08-13,1,0,5,5,0,2,5,0,1,1
2023-08-14,5,1,0,4,3,3,2,2,0,0
2023-08-15,5,3,3,0,2,0,0,3,0,4
2023-08-16,0,4,3,1,1,4,0,1,1,5
2023-08-17,5,5,3,3,3,0,0,0,0,1
2023-08-18,0,2,1,4,0,1,2,5,5,0
2023-08-19,2,3,3,1,1,3,4,2,0,1
2023-08-20,4,4,5,3,0,1,1,2,0,0
2023-08-21,4,5,4,0,5,1,1,0,0,0
2023-08-22,5,5,3,3,0,2,2,0,0,0
2023-08-23,3,0,2,4,3,4,0,3,0,1
2023-08-24,4,5,2,5,0,4,0,0,0,0
2023-08-25,5,0,0,5,5,1,0,3,1,0
2023-08-26,3,5,5,4,1,0,0,1,0,1
2023-08-27,1,2,1,0,2,2,4,2,1,5
2023-08-28,1,4,5,0,5,0,4,1,0,0
2023-08-29,1,2,4,5,0,1,0,0,3,4
2023-08-30,1,0,4,3,3,4,4,1,0,0
2023-08-31,3,4,2,1,3,1,5,0,1,0
2023-09-01,0,2,3,5,0,3,5,0,2,0
2023-09-02,0,2,1,3,1,1,1,1,3,7
2023-09-03,2,3,5,3,1,4,1,0,0,1
2023-09-04,2,0,2,3,3,5,3,0,0,2
2023-09-05,2,5,2,4,2,2,1,2,0,0
2023-09-06,4,2,3,5,5,0,1,0,0,0
2023-09-07,1,2,1,5,0,0,3,0,4,4
2023-09-08,5,2,4,4,2,2,0,1,0,0
2023-09-09,3,0,0,4,0,3,5,0,1,4
2023-09-10,5,4,2,0,2,1,3,0,0,3
2023-09-11,4,1,0,3,5,1,3,0,1,2
2023-09-12,2,5,3,0,5,2,3,0,0,0
2023-09-13,3,5,2,5,5,0,0,0,0,0
2023-09-14,5,1,5,3,4,2,0,0,0,0
2023-09-15,3,4,3,0,2,2,4,2,0,0
2023-09-16,1,1,5,3,0,1,0,1,1,7
2023-09-17,1,0,2,5,1,3,3,1,0,4
2023-09-18,4,4,4,4,1,1,1,1,0,0
2023-09-19,3,3,4,2,0,0,0,4,4,0
2023-09-20,4,5,1,4,3,2,1,0,0,0
2023-09-21,0,5,2,5,3,0,2,2,0,1
2023-09-22,2,5,3,2,0,2,3,3,0,0
2023-09-23,5,5,2,1,2,5,0,0,0,0
2023-09-24,4,2,2,1,2,0,1,5,0,3
2023-09-25,5,4,1,4,5,1,0,0,0,0
2023-09-26,1,5,3,5,3,2,1,0,0,0
2023-09-27,5,2,1,1,4,2,0,5,0,0
2023-09-28,4,3,0,1,0,4,5,0,3,0
2023-09-29,5,2,4,0,3,0,0,5,0,1
2023-09-30,2,4,3,5,0,5,0,0,0,1
2023-10-01,5,0,2,2,5,5,1,0,0,0
2023-10-02,0,3,3,1,0,3,4,2,3,1
2023-10-03,2,3,2,2,4,4,2,1,0,0
2023-10-04,5,4,5,0,0,4,0,2,0,0
2023-10-05,4,4,4,2,3,1,1,1,0,0
2023-10-06,1,0,3,1,3,1,1,3,1,6
