dates/cities,Bengaluru/Bangalore,Mumbai,Bengaluru,Chennai,Hyderabad/Secunderabad,Delhi,Noida,Hyderabad,Gurgaon,Delhi/NCR(National Capital Region)
2023-08-01,4,1,2,2,2,2,2,5,0,0
2023-08-02,1,0,5,5,3,0,4,0,0,2
2023-08-03,0,0,4,3,5,3,3,1,0,1
2023-08-04,3,2,3,0,1,5,2,1,0,3
2023-08-05,3,0,4,2,3,5,0,1,0,2
2023-08-06,4,2,3,4,4,3,0,0,0,0
2023-08-07,3,4,3,5,0,2,0,2,0,1
2023-08-08,4,5,0,2,1,0,0,1,5,2
2023-08-09,2,2,5,3,3,2,3,0,0,0
2023-08-10,1,4,3,5,3,2,2,0,0,0
2023-08-11,0,5,5,4,1,4,0,0,0,1
2023-08-12,5,0,0,3,1,4,2,3,0,2
2023-08-13,4,5,2,1,4,4,0,0,0,0
2023-08-14,4,0,5,3,0,1,5,1,1,0
2023-08-15,5,2,4,1,3,0,4,1,0,0
2023-08-16,3,1,1,4,5,4,2,0,0,0
2023-08-17,0,4,3,1,0,1,0,4,5,2
2023-08-18,1,3,3,3,2,2,1,2,3,0
2023-08-19,4,4,2,4,2,0,4,0,0,0
2023-08-20,2,4,2,4,3,5,0,0,0,0
2023-08-21,3,1,1,5,0,0,2,2,0,6
2023-08-22,5,0,2,5,3,3,2,0,0,0
2023-08-23,1,4,2,0,4,3,4,2,0,0
2023-08-24,1,1,3,0,1,1,2,0,0,11
2023-08-25,5,5,3,1,3,1,1,1,0,0
2023-08-26,2,2,5,0,0,2,3,1,4,1
2023-08-27,5,5,3,4,3,0,0,0,0,0
2023-08-28,4,3,5,3,2,0,0,2,0,1
2023-08-29,5,4,2,0,2,4,0,2,1,0
2023-08-30,2,0,0,1,5,0,1,1,0,10
2023-08-31,3,2,2,1,4,5,1,1,0,1
2023-09-01,5,1,1,2,2,3,2,1,0,3
2023-09-02,1,1,5,3,1,0,1,1,1,6
2023-09-03,4,4,4,5,3,0,0,0,0,0
2023-09-04,1,4,0,5,2,4,3,0,0,1
2023-09-05,1,5,4,0,1,1,5,0,1,2
2023-09-06,1,3,0,2,2,4,0,4,1,3
2023-09-07,2,4,2,4,5,3,0,0,0,0
2023-09-08,0,4,3,1,1,5,5,0,1,0
2023-09-09,4,4,4,4,4,0,0,0,0,0
2023-09-10,2,4,0,1,4,1,0,2,2,4
2023-09-11,2,3,5,3,2,0,2,0,3,0
2023-09-12,5,0,4,0,4,1,3,1,2,0
2023-09-13,3,4,5,1,5,0,0,1,1,0
2023-09-14,5,0,5,1,2,2,2,1,2,0
2023-09-15,4,0,3,5,2,5,1,0,0,0
2023-09-16,0,5,3,2,1,0,0,3,4,2
2023-09-17,1,2,3,2,0,4,1,5,2,0
2023-09-18,3,1,1,2,3,3,4,1,0,2
2023-09-19,5,1,5,4,0,5,0,0,0,0
2023-09-20,1,2,1,5,0,4,3,2,2,0
2023-09-21,4,3,4,2,4,0,1,1,0,1
2023-09-22,2,5,5,4,0,0,4,0,0,0
2023-09-23,0,4,0,5,3,2,4,2,0,0
2023-09-24,5,1,1,1,4,0,4,1,2,1
2023-09-25,4,1,3,3,0,4,3,0,2,0
2023-09-26,2,0,4,0,0,1,2,4,4,3
2023-09-27,3,1,3,2,4,1,1,1,1,3
2023-09-28,2,5,5,5,1,0,0,0,1,1
2023-09-29,0,2,2,3,1,4,5,1,1,1
2023-09-30,5,1,2,4,1,5,2,0,0,0
2023-10-01,1,5,3,5,0,2,4,0,0,0
2023-10-02,5,4,4,3,3,0,0,0,1,0
2023-10-03,1,2,0,2,2,3,2,4,4,0
2023-10-04,1,4,5,5,2,1,2,0,0,0
2023-10-05,3,4,2,3,5,2,1,0,0,0
2023-10-06,4,3,3,2,1,2,0,3,2,0
