dates/cities,Bengaluru/Bangalore,Mumbai,Bengaluru,Chennai,Hyderabad/Secunderabad,Delhi,Noida,Hyderabad,Gurgaon,Delhi/NCR(National Capital Region)
2023-08-01,4,5,5,5,0,0,0,0,0,1
2023-08-02,2,1,3,2,4,1,3,4,0,0
2023-08-03,4,1,4,5,1,2,0,2,0,1
2023-08-04,2,0,5,2,2,1,5,3,0,0
2023-08-05,4,0,0,1,1,3,1,3,2,5
2023-08-06,1,5,4,5,2,2,0,1,0,0
2023-08-07,4,2,3,3,5,0,0,2,0,1
2023-08-08,2,4,2,5,0,2,3,0,0,2
2023-08-09,4,5,4,4,2,0,1,0,0,0
2023-08-10,4,0,1,5,1,3,4,2,0,0
2023-08-11,4,2,1,3,0,1,5,3,0,1
2023-08-12,5,4,2,2,4,1,1,1,0,0
2023-08-13,5,5,5,5,0,0,0,0,0,0
2023-08-14,3,5,2,1,2,1,1,1,3,1
2023-08-15,2,0,2,1,5,2,4,4,0,0
2023-08-16,2,1,0,1,4,2,2,4,3,1
2023-08-17,1,0,3,0,3,3,3,2,3,2
2023-08-18,2,4,2,3,2,5,2,0,0,0
2023-08-19,1,5,4,3,2,4,1,0,0,0
2023-08-20,2,1,0,5,3,5,0,1,3,0
2023-08-21,5,0,2,1,0,5,0,4,3,0
2023-08-22,4,0,2,2,2,1,3,2,3,1
2023-08-23,0,3,0,2,2,3,5,1,2,2
2023-08-24,5,2,1,3,4,5,0,0,0,0
2023-08-25,5,2,2,2,1,5,0,1,0,2
2023-08-26,5,5,5,5,0,0,0,0,0,0
2023-08-27,2,5,3,0,4,0,0,5,0,1
2023-08-28,5,1,3,5,4,0,2,0,0,0
2023-08-29,5,1,4,2,0,0,5,3,0,0
2023-08-30,3,3,5,0,0,0,5,0,3,1
2023-08-31,5,4,3,2,5,0,0,1,0,0
2023-09-01,0,0,1,0,0,0,5,3,5,6
2023-09-02,3,4,4,5,2,2,0,0,0,0
2023-09-03,1,4,3,5,2,0,0,4,1,0
2023-09-04,2,0,0,4,2,1,5,5,1,0
2023-09-05,2,3,0,0,3,1,0,2,2,7
2023-09-06,5,1,5,5,2,0,0,2,0,0
2023-09-07,1,1,5,0,3,1,5,0,1,3
2023-09-08,2,3,1,0,4,0,0,3,4,3
2023-09-09,0,4,4,0,0,4,3,1,3,1
2023-09-10,0,4,4,4,0,2,1,2,0,3
2023-09-11,0,5,5,4,2,4,0,0,0,0
2023-09-12,1,1,0,1,3,1,2,1,5,5
2023-09-13,2,5,1,2,4,1,0,3,1,1
2023-09-14,0,4,5,2,3,5,1,0,0,0
2023-09-15,0,0,4,0,1,3,0,2,0,10
2023-09-16,4,1,2,3,5,5,0,0,0,0
2023-09-17,5,0,5,3,1,2,1,0,1,2
2023-09-18,2,2,4,3,0,1,0,5,1,2
2023-09-19,1,4,3,1,5,2,4,0,0,0
2023-09-20,0,2,2,5,3,1,1,2,4,0
2023-09-21,2,3,2,5,1,2,0,1,4,0
2023-09-22,5,2,3,2,4,4,0,0,0,0
2023-09-23,4,2,0,1,2,4,4,3,0,0
2023-09-24,2,4,3,5,2,1,2,1,0,0
2023-09-25,3,5,4,2,1,5,0,0,0,0
2023-09-26,0,1,2,0,4,0,1,3,5,4
2023-09-27,3,2,2,3,5,3,2,0,0,0
2023-09-28,0,5,4,4,2,0,0,1,2,2
2023-09-29,2,2,5,3,0,5,0,3,0,0
2023-09-30,4,0,4,0,4,0,3,0,1,4
2023-10-01,1,2,3,1,5,3,5,0,0,0
2023-10-02,1,1,3,5,2,4,0,0,4,0
2023-10-03,0,1,2,0,3,3,1,3,4,3
2023-10-04,3,3,2,1,3,2,5,1,0,0
2023-10-05,3,1,5,4,5,1,1,0,0,0
2023-10-06,4,0,5,4,1,5,1,0,0,0
