dates/cities,Bengaluru/Bangalore,Mumbai,Bengaluru,Chennai,Hyderabad/Secunderabad,Delhi,Noida,Hyderabad,Gurgaon,Delhi/NCR(National Capital Region)
2023-08-01,3,5,5,5,1,0,0,0,0,1
2023-08-02,5,5,2,1,4,0,2,1,0,0
2023-08-03,1,4,5,4,0,2,4,0,0,0
2023-08-04,1,0,5,3,5,2,2,1,1,0
2023-08-05,1,3,4,5,0,2,1,1,1,2
2023-08-06,4,4,0,3,2,0,4,0,0,3
2023-08-07,3,2,4,1,2,0,0,4,1,3
2023-08-08,2,3,1,1,0,2,5,2,4,0
2023-08-09,4,1,5,4,1,5,0,0,0,0
2023-08-10,5,4,5,2,1,1,0,1,0,1
2023-08-11,2,1,3,1,2,5,5,0,1,0
2023-08-12,4,0,1,3,3,5,2,0,1,1
2023-08-13,2,5,4,2,4,2,1,0,0,0
2023-08-14,1,0,5,2,1,0,0,5,0,6
2023-08-15,2,3,5,4,5,0,1,0,0,0
2023-08-16,2,0,1,3,1,1,3,5,1,3
2023-08-17,4,4,0,3,3,1,3,2,0,0
2023-08-18,0,2,5,0,2,4,3,0,0,4
2023-08-19,0,0,0,2,3,0,3,2,0,10
2023-08-20,3,4,1,2,0,2,5,1,0,2
2023-08-21,0,3,2,5,0,0,2,5,0,3
2023-08-22,0,1,1,3,3,2,4,1,0,5
2023-08-23,4,4,1,3,5,0,3,0,0,0
2023-08-24,1,2,2,4,1,4,3,3,0,0
2023-08-25,5,1,5,1,4,1,0,1,0,2
2023-08-26,4,1,2,1,5,4,0,2,0,1
2023-08-27,4,0,5,5,2,2,0,1,1,0
2023-08-28,4,3,0,1,1,2,4,4,0,1
2023-08-29,3,4,2,4,0,5,0,2,0,0
2023-08-30,2,0,1,0,3,4,0,4,4,2
2023-08-31,3,3,0,0,5,2,3,1,1,2
2023-09-01,0,5,4,2,4,2,1,1,1,0
2023-09-02,2,2,5,5,0,3,2,1,0,0
2023-09-03,3,5,1,1,4,0,4,1,0,1
2023-09-04,5,3,4,1,0,5,0,2,0,0
2023-09-05,3,3,5,1,4,1,0,3,0,0
2023-09-06,2,1,2,3,1,4,4,0,3,0
2023-09-07,0,2,0,0,0,4,1,3,4,6
2023-09-08,2,5,1,0,2,0,0,0,5,5
2023-09-09,2,1,3,0,5,4,2,1,2,0
2023-09-10,5,2,3,4,5,0,0,0,0,1
2023-09-11,0,5,3,2,4,4,1,1,0,0
2023-09-12,0,5,4,2,3,2,3,0,1,0
2023-09-13,3,2,0,2,3,0,3,3,3,1
2023-09-14,1,1,4,3,2,0,0,4,4,1
2023-09-15,3,5,0,3,2,4,2,0,1,0
2023-09-16,1,1,4,2,4,1,5,0,2,0
2023-09-17,3,3,0,0,3,1,3,3,4,0
2023-09-18,0,3,1,3,1,3,2,1,0,6
2023-09-19,5,1,2,4,0,4,0,3,0,1
2023-09-20,5,4,0,1,3,4,0,0,1,2
2023-09-21,0,1,2,3,4,5,0,1,1,3
2023-09-22,5,1,0,0,2,5,0,3,3,1
2023-09-23,2,5,2,1,5,3,1,1,0,0
2023-09-24,1,0,2,1,5,3,4,0,4,0
2023-09-25,1,0,4,3,0,4,4,0,2,2
2023-09-26,1,4,2,2,0,4,4,0,0,3
2023-09-27,4,3,0,4,2,3,3,1,0,0
2023-09-28,0,2,1,3,5,2,4,0,1,2
2023-09-29,2,2,3,4,4,0,3,0,0,2
2023-09-30,4,4,5,2,2,3,0,0,0,0
2023-10-01,4,5,5,1,3,1,1,0,0,0
2023-10-02,4,4,5,2,2,3,0,0,0,0
2023-10-03,1,5,1,4,5,2,0,2,0,0
2023-10-04,5,3,0,4,0,1,5,1,0,1
2023-10-05,1,0,1,5,2,1,3,1,3,3
2023-10-06,1,4,5,1,4,0,5,0,0,0
