dates/cities,Bengaluru/Bangalore,Mumbai,Bengaluru,Chennai,Hyderabad/Secunderabad,Delhi,Noida,Hyderabad,Gurgaon,Delhi/NCR(National Capital Region)
2023-08-01,5,4,5,5,0,0,0,1,0,0
2023-08-02,2,0,2,4,5,1,1,1,3,1
2023-08-03,3,5,1,1,3,2,1,1,2,1
2023-08-04,0,4,2,1,1,4,4,4,0,0
2023-08-05,1,0,5,2,5,0,2,1,0,4
2023-08-06,5,2,1,5,1,5,0,1,0,0
2023-08-07,2,1,2,5,4,3,2,1,0,0
2023-08-08,3,5,0,4,5,1,1,1,0,0
2023-08-09,3,5,3,1,2,1,1,1,3,0
2023-08-10,4,2,0,3,3,4,1,2,1,0
2023-08-11,5,2,0,1,1,2,3,2,0,4
2023-08-12,4,2,0,3,4,2,1,4,0,0
2023-08-13,3,1,1,0,0,2,2,2,3,6
2023-08-14,1,4,5,4,0,2,4,0,0,0
2023-08-15,2,4,1,0,0,5,5,0,0,3
2023-08-16,0,5,0,5,5,1,2,2,0,0
2023-08-17,3,2,2,3,5,4,1,0,0,0
2023-08-18,4,4,0,1,4,2,1,4,0,0
2023-08-19,0,1,3,2,3,1,4,2,4,0
2023-08-20,4,5,1,4,4,2,0,0,0,0
2023-08-21,1,5,2,0,0,3,3,4,1,1
2023-08-22,0,3,1,2,4,1,3,5,1,0
2023-08-23,1,3,5,1,0,4,0,1,5,0
2023-08-24,1,1,4,0,1,4,5,1,0,3
2023-08-25,2,0,1,1,1,5,3,0,0,7
2023-08-26,1,5,1,5,2,5,1,0,0,0
2023-08-27,2,5,0,3,3,2,0,5,0,0
2023-08-28,1,4,4,4,0,2,3,1,1,0
2023-08-29,3,2,5,2,5,2,1,0,0,0
2023-08-30,0,4,3,3,2,0,2,5,1,0
2023-08-31,3,3,5,5,2,1,0,1,0,0
2023-09-01,3,2,1,3,5,5,1,0,0,0
2023-09-02,1,2,4,1,5,2,4,1,0,0
2023-09-03,4,4,0,5,5,2,0,0,0,0
2023-09-04,2,4,2,5,1,0,1,2,1,2
2023-09-05,5,4,0,5,1,5,0,0,0,0
2023-09-06,0,0,3,5,3,2,1,1,3,2
2023-09-07,4,0,0,5,5,3,2,1,0,0
2023-09-08,1,4,2,2,5,1,3,0,0,2
2023-09-09,1,3,2,4,4,4,1,0,0,1
2023-09-10,3,1,5,4,4,0,1,1,0,1
2023-09-11,5,1,4,3,2,3,2,0,0,0
2023-09-12,0,1,4,2,3,0,2,5,3,0
2023-09-13,4,0,3,4,3,2,3,0,0,1
2023-09-14,1,4,4,3,2,3,0,1,2,0
2023-09-15,5,5,4,2,4,0,0,0,0,0
2023-09-16,0,2,1,4,1,0,3,5,4,0
2023-09-17,0,2,2,4,3,0,0,3,0,6
2023-09-18,3,3,2,2,4,2,4,0,0,0
2023-09-19,0,0,3,2,1,0,2,5,4,3
2023-09-20,4,2,5,3,2,2,1,0,0,1
2023-09-21,4,1,4,3,3,0,5,0,0,0
2023-09-22,4,1,5,4,1,0,0,1,0,4
2023-09-23,0,1,3,0,5,0,2,0,3,6
2023-09-24,3,1,1,3,5,4,1,0,2,0
2023-09-25,5,3,3,5,2,2,0,0,0,0
2023-09-26,3,4,0,3,4,4,0,1,0,1
2023-09-27,0,4,0,4,3,2,1,5,1,0
2023-09-28,1,5,3,0,5,1,5,0,0,0
2023-09-29,3,2,3,4,5,0,3,0,0,0
2023-09-30,3,4,4,1,5,2,0,1,0,0
2023-10-01,0,5,0,4,5,1,4,1,0,0
2023-10-02,4,3,2,2,5,1,1,0,2,0
2023-10-03,3,2,5,1,0,4,5,0,0,0
2023-10-04,4,2,5,4,0,5,0,0,0,0
2023-10-05,4,0,4,3,2,3,4,0,0,0
2023-10-06,3,3,0,4,5,0,3,1,1,0
