dates/cities,Bengaluru/Bangalore,Mumbai,Bengaluru,Chennai,Hyderabad/Secunderabad,Delhi,Noida,Hyderabad,Gurgaon,Delhi/NCR(National Capital Region)
2023-08-01,5,5,2,2,0,0,3,1,0,2
2023-08-02,4,3,3,0,4,4,0,2,0,0
2023-08-03,3,2,2,3,3,2,5,0,0,0
2023-08-04,1,0,1,2,5,1,2,2,5,1
2023-08-05,4,4,3,4,3,1,0,0,1,0
2023-08-06,0,2,4,3,3,1,2,5,0,0
2023-08-07,0,0,3,1,5,1,2,4,2,2
2023-08-08,0,4,1,5,1,4,0,3,1,1
2023-08-09,1,3,2,2,1,1,3,0,0,7
2023-08-10,0,1,3,0,4,0,1,4,4,3
2023-08-11,1,3,3,1,2,2,2,0,1,5
2023-08-12,5,3,2,2,5,1,2,0,0,0
2023-08-13,5,3,0,5,4,0,1,2,0,0
2023-08-14,5,0,1,4,3,1,2,1,1,2
2023-08-15,4,4,4,5,0,1,1,1,0,0
2023-08-16,1,1,4,1,3,3,2,1,2,2
2023-08-17,3,3,0,2,4,1,4,0,2,1
2023-08-18,0,3,0,3,3,0,2,0,4,5
2023-08-19,5,2,2,3,0,4,3,0,1,0
2023-08-20,0,4,3,4,2,4,0,0,2,1
2023-08-21,3,3,3,1,2,4,0,4,0,0
2023-08-22,5,3,0,4,5,0,1,2,0,0
2023-08-23,0,0,1,2,1,5,4,4,2,1
2023-08-24,1,1,0,2,3,1,4,3,4,1
2023-08-25,1,4,0,3,2,5,1,3,0,1
2023-08-26,4,1,4,0,5,3,0,2,0,1
2023-08-27,1,3,0,5,2,1,2,5,1,0
2023-08-28,5,1,4,3,4,3,0,0,0,0
2023-08-29,4,5,5,3,1,2,0,0,0,0
2023-08-30,0,0,3,3,3,2,5,2,2,0
2023-08-31,3,2,5,1,0,4,5,0,0,0
2023-09-01,1,3,4,0,3,3,3,2,0,1
2023-09-02,3,1,1,0,3,5,1,4,0,2
2023-09-03,0,4,1,5,1,2,1,0,4,2
2023-09-04,3,4,5,2,4,2,0,0,0,0
2023-09-05,1,5,0,5,4,2,2,0,1,0
2023-09-06,5,1,2,1,0,0,0,3,4,4
2023-09-07,0,4,3,2,4,3,1,0,2,1
2023-09-08,2,4,2,0,4,2,5,1,0,0
2023-09-09,0,1,0,0,0,4,5,3,5,2
2023-09-10,3,2,0,4,3,2,1,2,0,3
2023-09-11,1,4,0,1,0,0,4,0,3,7
2023-09-12,0,5,1,5,0,0,2,2,2,3
2023-09-13,3,4,3,2,0,4,0,1,2,1
2023-09-14,2,3,3,2,5,5,0,0,0,0
2023-09-15,2,5,5,3,3,2,0,0,0,0
2023-09-16,0,4,4,2,2,4,3,0,0,1
2023-09-17,5,2,5,1,0,2,4,0,1,0
2023-09-18,0,0,4,1,0,1,3,3,3,5
2023-09-19,5,4,2,1,1,0,5,1,1,0
2023-09-20,5,0,3,3,1,5,2,0,1,0
2023-09-21,3,1,1,2,0,3,4,4,0,2
2023-09-22,0,0,0,1,4,4,1,5,3,2
2023-09-23,5,5,3,1,3,0,3,0,0,0
2023-09-24,5,4,4,3,0,4,0,0,0,0
2023-09-25,0,2,2,5,4,2,4,0,0,1
2023-09-26,5,2,1,2,2,4,2,0,1,1
2023-09-27,3,0,4,2,5,0,1,0,5,0
2023-09-28,4,4,1,2,0,0,3,3,3,0
2023-09-29,3,1,2,3,3,4,1,1,0,2
2023-09-30,5,1,4,3,1,3,0,0,3,0
2023-10-01,4,1,2,1,2,4,1,4,1,0
2023-10-02,2,0,4,0,2,4,4,1,3,0
2023-10-03,1,0,5,0,4,2,5,1,0,2
2023-10-04,4,0,4,4,4,2,1,0,1,0
2023-10-05,2,5,1,2,1,1,1,1,0,6
2023-10-06,5,1,1,2,5,4,0,0,2,0
