skills/dates,Java,Agile,Front end,jQuery,Oracle,Python,C++,Javascript,AWS,Ruby
2022-10-01,3,9,5,5,8,9,6,3,1,1
2022-10-02,9,7,9,5,4,1,6,6,8,3
2022-10-03,7,3,3,8,4,9,6,9,6,5
2022-10-04,7,6,6,2,2,2,1,4,1,2
2022-10-05,1,2,5,8,2,3,3,5,6,9
2022-10-06,7,2,9,7,1,2,1,6,1,3
2022-10-07,9,9,5,4,7,5,5,8,8,9
2022-10-08,1,1,5,9,7,7,9,1,3,7
2022-10-09,7,5,8,3,6,4,4,2,5,1
2022-10-10,9,3,7,9,8,8,5,5,2,4
2022-10-11,6,8,8,6,9,1,2,9,3,4
2022-10-12,7,6,3,9,6,4,6,6,4,2
2022-10-13,2,8,6,4,8,1,6,9,5,5
2022-10-14,2,2,6,1,3,2,3,3,9,4
2022-10-15,5,2,1,3,5,6,5,6,2,6
2022-10-16,2,3,2,7,2,4,5,8,1,9
2022-10-17,6,9,3,4,7,6,7,7,8,5
2022-10-18,8,7,8,7,1,9,4,5,3,4
2022-10-19,7,5,7,5,2,1,9,7,9,3
2022-10-20,1,5,6,7,2,4,3,4,6,7
2022-10-21,6,7,5,4,1,2,4,6,3,7
2022-10-22,6,6,3,6,1,1,9,3,6,7
2022-10-23,6,8,5,2,1,1,9,6,2,6
2022-10-24,7,1,4,2,7,7,8,3,5,3
2022-10-25,5,3,6,5,7,2,1,9,4,6
2022-10-26,8,2,5,2,5,7,3,3,8,5
2022-10-27,3,3,8,5,7,5,2,2,2,3
2022-10-28,1,1,4,8,7,1,1,3,8,1
2022-10-29,9,1,9,1,1,6,6,7,4,3
2022-10-30,4,9,4,7,4,7,7,4,1,6
2022-10-31,3,1,4,1,5,7,2,4,1,9
2022-11-01,8,3,5,2,2,8,7,1,2,3
2022-11-02,4,5,8,9,4,9,2,6,6,8
2022-11-03,7,3,1,1,2,6,2,2,4,6
2022-11-04,5,1,7,8,7,5,8,3,6,6
2022-11-05,7,9,3,9,3,7,6,1,5,3
2022-11-06,8,6,3,2,1,4,6,4,9,3
2022-11-07,1,3,9,6,1,4,3,7,8,8
2022-11-08,6,5,6,2,2,9,3,8,3,4
2022-11-09,3,4,5,4,9,4,3,4,1,7
2022-11-10,1,5,4,5,6,1,2,2,9,2
2022-11-11,1,3,1,6,7,6,9,2,6,7
2022-11-12,6,5,2,5,5,5,4,5,7,6
2022-11-13,9,6,4,4,4,6,6,8,6,8
2022-11-14,3,7,3,4,6,8,9,3,4,9
